"Nomenclature","ReporterISO3","ProductCode","ReporterName","PartnerISO3","PartnerName","TradeFlowName","TradeFlowCode","2018 in 1000 USD ","2019 in 1000 USD ","2020 in 1000 USD ","2021 in 1000 USD ","2022 in 1000 USD ","2023 in 1000 USD "
"H5","AGO"," Total","Angola","MAC","Macao","Export",6,,4.405,,0.101,22.669,
"H5","AGO"," Total","Angola","MAC","Macao","Import",5,54.287,672.695,783.776,493.508,360.446,
"H5","AGO"," Total","Angola","MAR","Morocco","Export",6,1349.733,2889.147,16592.525,11643.239,1436.148,
"H5","AGO"," Total","Angola","MAR","Morocco","Import",5,45323.585,31861.608,29541.335,24347.666,61084.256,
"H5","AGO"," Total","Angola","MDA","Moldova","Export",6,,,52.527,,87.365,
"H5","AGO"," Total","Angola","MDA","Moldova","Import",5,,0.048,17.445,99.994,32.299,
"H5","AGO"," Total","Angola","MDG","Madagascar","Export",6,3.267,0.686,1.645,33.102,0.152,
"H5","AGO"," Total","Angola","MDG","Madagascar","Import",5,0.971,0.362,20.609,0.216,42.981,
"H5","AGO"," Total","Angola","MDV","Maldives","Import",5,0.024,,,,,
"H5","AGO"," Total","Angola","MEX","Mexico","Export",6,325.438,273.993,268.354,164.508,87.778,
"H5","AGO"," Total","Angola","MEX","Mexico","Import",5,12022.679,23229.912,14010.987,26521.269,40458.286,
"H5","AGO"," Total","Angola","MHL","Marshall Islands","Export",6,,11.64,13.253,3.914,176.895,
"H5","AGO"," Total","Angola","MHL","Marshall Islands","Import",5,50.652,59436.578,194.493,14.337,543.232,
"H5","AGO"," Total","Angola","MKD","North Macedonia","Import",5,2.055,,,20.013,93.853,
"H5","AGO"," Total","Angola","MLI","Mali","Export",6,65.198,33.67,4.473,1072.274,61.982,
"H5","AGO"," Total","Angola","MLI","Mali","Import",5,537.861,1.648,92.9,65.436,29.984,
"H5","AGO"," Total","Angola","MLT","Malta","Export",6,59.335,32.599,15.262,39.775,16.768,
"H5","AGO"," Total","Angola","MLT","Malta","Import",5,23655.861,32138.377,2497.12,186177.806,4651.272,
"H5","AGO"," Total","Angola","MMR","Myanmar","Export",6,,,43512.679,,,
"H5","AGO"," Total","Angola","MMR","Myanmar","Import",5,5.058,68.646,7974.888,0.45,7941.561,
"H5","AGO"," Total","Angola","MNG","Mongolia","Import",5,0.225,0.085,,,0.165,
"H5","AGO"," Total","Angola","MNP","Northern Mariana Islands","Export",6,,,0.076,,,
"H5","AGO"," Total","Angola","MNP","Northern Mariana Islands","Import",5,,,,,0.746,
"H5","AGO"," Total","Angola","MNT","Montenegro","Import",5,24.882,,,,,
"H5","AGO"," Total","Angola","MOZ","Mozambique","Export",6,1234.247,4053.311,3298.356,866.031,1561.053,
"H5","AGO"," Total","Angola","MOZ","Mozambique","Import",5,4686.354,4684.591,4584.913,1714.171,4329.578,
"H5","AGO"," Total","Angola","MRT","Mauritania","Export",6,111.47,1482.863,433.975,165.638,11729.793,
"H5","AGO"," Total","Angola","MRT","Mauritania","Import",5,79453.562,27222.816,5006.569,709.35,5096.927,
"H5","AGO"," Total","Angola","MSR","Montserrat","Import",5,,,,71.345,0.121,
"H5","AGO"," Total","Angola","MUS","Mauritius","Export",6,,,122.545,10.907,13.415,
